Title,Has Website,Social Media Presence,Marketplace Usage,Payment Digital Adoption,Active Social Media Channels,Social Media Posting Frequency,Year Started Digital Adoption,POS (Point of Sales) Usage,Online Ads Usage,E-Wallet Acceptance,Business Size,Monthly Revenue,Number of Employees,Location Type,Willingness to Develop
Manager,Ya,Ya,Ya,Ya,TikTok,Setiap Hari,<2015,Tidak,Tidak,Ya,Micro,5-15 Juta,1-2 Orang,Online-Only,Bersedia
CEO,Tidak,Tidak,Ya,Ya,TikTok,Setiap Hari,2022-Sekarang,Tidak,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Pasar,Tidak Bersedia
CEO,Tidak,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Rumah,Bersedia
Manager,Tidak,Tidak,Ya,Ya,Facebook,Setiap Hari,Belum Mengadopsi,Ya,Ya,Tidak,Micro,5-15 Juta,3-5 Orang,Pasar,Tidak Bersedia
Owner,Ya,Tidak,Ya,Tidak,Instagram,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Tidak,Small,<5 Juta,3-5 Orang,Pasar,Bersedia
CEO,Tidak,Tidak,Ya,Tidak,Facebook,Setiap Hari,<2015,Tidak,Ya,Tidak,Medium,<5 Juta,>10 Orang,Rumah,Bersedia
President,Ya,Ya,Ya,Ya,WhatsApp,Tidak Pernah,<2015,Ya,Ya,Tidak,Small,>30 Juta,3-5 Orang,Pasar,Bersedia
President,Ya,Tidak,Ya,Ya,Facebook,Setiap Hari,2022-Sekarang,Tidak,Tidak,Tidak,Medium,15-30 Juta,6-10 Orang,Online-Only,Tidak Bersedia
President,Tidak,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Tidak,Medium,<5 Juta,3-5 Orang,Toko,Tidak Bersedia
CEO,Tidak,Tidak,Ya,Tidak,Facebook,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Ya,Micro,>30 Juta,6-10 Orang,Pasar,Bersedia
Owner,Tidak,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,15-30 Juta,3-5 Orang,Rumah,Tidak Bersedia
President,Tidak,Ya,Ya,Ya,TikTok,Beberapa Kali Seminggu,2019-2021,Tidak,Tidak,Tidak,Medium,>30 Juta,1-2 Orang,Rumah,Bersedia
Director,Tidak,Ya,Tidak,Tidak,Tidak Ada,Tidak Pernah,2015-2018,Tidak,Tidak,Tidak,Micro,>30 Juta,>10 Orang,Online-Only,Bersedia
Manager,Ya,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Seminggu,2022-Sekarang,Ya,Tidak,Ya,Medium,>30 Juta,>10 Orang,Toko,Bersedia
President,Tidak,Ya,Tidak,Ya,TikTok,Tidak Pernah,2015-2018,Tidak,Tidak,Ya,Micro,15-30 Juta,>10 Orang,Pasar,Bersedia
President,Tidak,Ya,Tidak,Tidak,Tidak Ada,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Small,5-15 Juta,1-2 Orang,Pasar,Tidak Bersedia
Owner,Tidak,Ya,Ya,Ya,Facebook,Beberapa Kali Seminggu,Belum Mengadopsi,Ya,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Rumah,Bersedia
Director,Tidak,Ya,Ya,Tidak,Facebook,Jarang,2022-Sekarang,Tidak,Ya,Tidak,Micro,15-30 Juta,>10 Orang,Pasar,Bersedia
Owner,Tidak,Ya,Ya,Tidak,TikTok,Jarang,2015-2018,Tidak,Ya,Tidak,Small,<5 Juta,6-10 Orang,Pasar,Bersedia
